latitude,longitude
19.2204,-42.4832
-20.4661,-41.7314
-22.686,-45.48
-22.6681,-45.5031
-22.6774,-45.4732
-22.686,-45.48
-22.666,-45.4534
-19.7993,-41.7174
-20.79,-42.8882
-22.7008,-45.4964
-22.7167,-45.6001
-22.6681,-45.5031
-22.7285,-44.6358
-22.7285,-44.6358
-22.87,-46.0309
-19.2204,-42.4832
-20.6665,-42.5222
-17.5487,-40.6024
-17.5487,-40.6024
-17.5487,-40.6024
-19.7323,-41.8141
-22.633333, -38.1
-23.266701, -46.349998
-23, -46.0667
-23.186666666667, -46.88416667
-22.7299995422363, -45.59000015
-12.563099861145, -41.38999939
-22.7299995422363, -45.59000015
-22.7299995422363,- 45.59000015
-22.7299995422363, -45.59000015
-24.3239002227783, -50.61560059
-24.3239002227783, -50.61560059
-24.3239002227783, -50.61560059
-22.7299995422363, -45.59000015
-19.9356002807617, -40.60029984
-22.7299995422363, -45.59000015
-22.7299995422363, -45.59000015
-22.7299995422363, -45.59000015
-22.7299995422363, -45.59000015
-22.7299995422363, -45.59000015
-24.3239002227783,-50.61560059
-22.7299995422363, -45.59000015
-22.7299995422363, -45.59000015
-22.7299995422363, -45.59000015
-20.4333000183105, -41.86830139
-23.1800003051758, -46.88000107
-23.1800003051758, -46.88000107
-23.1800003051758, -46.88000107
-22.730556, -45.590278
-22.406586,-44.624233
-22.689444,-45.481945
-22.689444,-45.481945
-29.465906,-50.677185
-28.142239,-50.097656
-29.465906,-50.677185
-22.73724,-45.58983
-22.689444,-45.481945
-23.974018,-47.034702
-23.974018,-47.034702
-23.974018,-47.034702
-23.974018,-47.034702
-29.444382,-50.562775
-29.444382,-50.562775
-22.73724,-45.58983
-22.73724,-45.58983
-22.694319,-45.524296
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-29.44292,-50.61154
-29.155666,-50.062122
-29.44292,-50.61154
-29.44292,-50.61154
-29.44292,-50.61154
-22.73724,-45.58983
-29.087921,-50.11877
-22.689444,-45.481945
-22.703138,-45.47843
-22.703138,-45.47843
-22.689444,-45.481945
-22.703138,-45.47843
-22.73724,-45.58983
-22.689444,-45.481945
-29.159657,-50.078945
-22.5,-53.516667
-24.583333,-51.333333
-22.791142,-45.496956
-22.689444,-45.481945
-22.689444,-45.481945
-22.689444,-45.481945
-22.71,-45.55
-22.689444,-45.481945
-22.689444,-45.481945
-22.73724,-45.58983
-22.69,-45.49
-22.703138,-45.47843
-22.689444,-45.481945
-22.73724,-45.58983
-22.703138,-45.47843
-22.689444,-45.481945
-22.69,-45.49
-22.73724,-45.58983
-22.689444,-45.481945
-29.443054,-50.611084
-18.811476,-40.683518
-29.385416,-50.895939
-29.315197,-50.981673
-22.758807,-45.558697
-29.449523,-50.395053
-26.553318,-52.448195
-16.394845,-40.957292
-26.603364,-52.0695
-26.446783,-52.522928
-22.602285,-45.568065
-29.270108,-50.953295
-29.458334,-50.581112
-22.691557,-45.50286
-22.73724,-45.58983
-22.807692,-45.99517
-27.732767,-50.203163
-22.866201,-46.041775
-27.952076,-49.9305
-22.715195,-45.604713
-22.689444,-45.481945
-28.057894,-49.36535
-27.95734,-49.906734
-27.739838,-51.173393
-27.395897,-50.746914
-27.978527,-49.486237
-27.487331,-50.98294
-26.27108,-51.176186
-22.689444,-45.481945
-23.14013,-44.92263
-26.91687,-50.74241
-27.978527,-49.486237
-27.49529,-50.825935
-26.037426,-52.67862
-27.487331,-50.98294
-26.037426,-52.67862
-22.69121,-45.50362
-19.41644,-42.725796
-25.099901,-48.811634
-20.685087,-43.30088
-22.693571,-45.490643
-29.158892,-50.08184
-29.458334,-50.581112
-29.178404,-50.04842
-22.691847,-45.507538
-29.14611,-50.395557
-22.689444,-45.481945
-27.952076,-49.9305
-25.216906,-48.038837
-28.001665,-49.54776
-25.963375,-51.860798
-29.458334,-50.581112
-26.462187,-52.568893
-27.951292,-49.93415
-22.699076,-45.506176
-27.967873,-49.895054
-22.73724,-45.58983
-27.951292,-49.93415
-29.458334,-50.581112
-29.36851,-50.873302
-22.689444,-45.481945
-23.14013,-44.92263
-27.739838,-51.173393
-22.691557,-45.50286
-25.10292,-48.70592
-28.314272,-50.27333
-28.001665,-49.54776
-29.442417,-50.555885
-27.385855,-50.771492
-29.431555,-50.56104
-22.689444,-45.481945
-24.339954,-50.611244
-19.38903,-42.654255
-29.159657,-50.078945
-29.458334,-50.581112
-26.462187,-52.568893
-22.691557,-45.50286
-26.037426,-52.67862
-24.586163,-52.93567
-22.868647,-46.022224
-20.688868,-43.307953
-26.462187,-52.568893
-26.462187,-52.568893
-27.739838,-51.173393
-27.395897,-50.746914
-29.313206,-50.85219
-28.987675,-50.06528
-25.339458,-49.208725
-26.14149,-51.75382
-27.978527,-49.486237
-22.876017,-46.029797
-19.41854,-42.639507
-27.395897,-50.746914
-22.73724,-45.58983
-27.023197,-51.090958
-26.037426,-52.67862
-29.159657,-50.078945
-29.480993,-50.17481
-20.685087,-43.30088
-29.458334,-50.581112
-29.425262,-50.392895
-26.324463,-53.29992
-24.956982,-48.42139
-20.685087,-43.30088
-27.56632,-51.17782
-29.458334,-50.581112
-27.502172,-50.860516
-25.084343,-48.80382
-29.458334,-50.581112
-29.159657,-50.078945
-24.956982,-48.42139
-19.412596,-42.60874
-27.951292,-49.93415
-27.951292,-49.93415
-27.951292,-49.93415
-27.9545,-49.8767
-22.716423,-45.59234
-22.705013,-45.461582
-27.978527,-49.486237
-26.462187,-52.568893
-29.355167,-50.83108
-22.691177,-45.497208
-25.339458,-49.208725
-23.162851,-44.958588
-20.685087,-43.30088
-27.148058,-51.536243
-22.689444,-45.481945
-25.22102,-48.046986
-27.540754,-50.856575
-27.490208,-50.980618
-29.158892,-50.08184
-19.412596,-42.60874
-27.116165,-52.768436
-29.159657,-50.078945
-22.261608,-44.507496
-29.458334,-50.581112
-27.978527,-49.486237
-26.037426,-52.67862
-25.339489,-49.208748
-22.698654,-45.480602
-26.487871,-51.990635
-22.689444,-45.481945
-16.854315,-41.755135
-22.709316,-45.548607
-29.15847,-50.079353
-27.967873,-49.895054
-26.462187,-52.568893
-29.158892,-50.08184
-27.424295,-50.77813
-26.037426,-52.67862
-27.951292,-49.93415
-22.689444,-45.481945
-22.689444,-45.481945
-22.720968,-45.57992
-22.727917,-45.59086
-27.565079,-53.513126
-22.689444,-45.481945
-27.669218,-49.056145
-27.952574,-49.93541
-29.450869,-50.520447
-21.600992,-44.570778
-27.669218,-49.056145
-26.462187,-52.568893
-16.463182,-41.718716
-29.427607,-50.39236
-27.9545,-49.8767
-22.691557,-45.50286
-29.450869,-50.520447
-29.458334,-50.581112
-28.039925,-49.45227
-27.951292,-49.93415
-22.73724,-45.58983
-22.876017,-46.029797
-29.158892,-50.08184
-27.951292,-49.93415
-27.952509,-49.8698
-27.739838,-51.173393
-22.739326,-45.591537
-27.44909,-50.916565
-27.978527,-49.486237
-27.951292,-49.93415
-20.685087,-43.30088
-22.807692,-45.99517
-29.158892,-50.08184
-27.952076,-49.9305
-25.016071,-47.9318
-26.948582,-49.562954
-27.497639,-50.790745
-27.978527,-49.486237
-29.176653,-49.986996
-22.73944,-45.571083
-29.289534,-50.487564
-29.437624,-50.60847
-26.037426,-52.67862
-29.458334,-50.581112
-22.866201,-46.041775
-27.980448,-49.855312
-22.73724,-45.58983
-26.40133,-52.60221
-26.037426,-52.67862
-26.462187,-52.568893
-29.450869,-50.520447
-29.450869,-50.520447
-26.037426,-52.67862
-19.150488,-40.06817
-20.685087,-43.30088
-22.690578,-45.47798
-29.425262,-50.392895
-20.685087,-43.30088
-22.88379,-46.024757
-27.395897,-50.746914
-22.687828,-45.502964
-27.110743,-52.767525
-20.685087,-43.30088
-27.951292,-49.93415
-21.450356,-44.671654
-26.22401,-52.031147
-28.229565,-49.87014
-29.458334,-50.581112
-22.807692,-45.99517
-26.037426,-52.67862
-22.731178,-45.595875
-16.463182,-41.718716
-25.099901,-48.811634
-24.856287,-48.717747
-22.73724,-45.58983
-26.070501,-51.170708
-22.727917,-45.59086
-20.685087,-43.30088
-27.951292,-49.93415
-27.951292,-49.93415
-27.952574,-49.93541
-29.423851,-50.38677
-29.158892,-50.08184
-29.425262,-50.392895
-27.951292,-49.93415
-26.487871,-51.990635
-27.944067,-49.86991
-26.41441,-52.625977
-29.458334,-50.581112
-27.980448,-49.855312
-27.43288,-48.98999
-22.691557,-45.50286
-22.731236,-45.59698
-29.427607,-50.39236
-29.458334,-50.581112
-27.9545,-49.8767
-27.571884,-51.05753
-26.037426,-52.67862
-21.988024,-43.899624
-29.425262,-50.392895
-27.395897,-50.746914
-26.007145,-50.360023
-22.703138,-45.47843
-22.693571,-45.490643
-27.967873,-49.895054
-22.689444,-45.481945
-23.33884,-45.14914
-27.733105,-50.201664
-29.458334,-50.581112
-29.352043,-50.840622
-22.73724,-45.58983
-27.951292,-49.93415
-27.978527,-49.486237
-22.697767,-45.515057
-27.502172,-50.860516
-22.689444,-45.481945
-26.462187,-52.568893
-27.951292,-49.93415
-29.427607,-50.39236
-29.458334,-50.581112
-29.158892,-50.08184
-29.442862,-50.611286
-27.8999,-49.585606
-26.037426,-52.67862
-26.144926,-51.066833
-22.70913,-45.546707
-27.978527,-49.486237
-16.463182,-41.718716
-22.689444,-45.481945
-23.162851,-44.958588
-20.685087,-43.30088
-28.081356,-49.906242
-26.462187,-52.568893
-26.180077,-51.073463
-26.006586,-51.667793
-27.978527,-49.486237
-28.081356,-49.906242
-26.1085,-51.659454
-25.963375,-51.860798
-29.353048,-50.840637
-25.016071,-47.9318
-27.395897,-50.746914
-29.458334,-50.581112
-22.697767,-45.515057
-22.691557,-45.50286
-16.463182,-41.718716
-26.462187,-52.568893
-27.571884,-51.05753
-29.425262,-50.392895
-27.980448,-49.855312
-22.717943,-45.41422
-22.691557,-45.50286
-29.458334,-50.581112
-26.589245,-50.1625
-27.978527,-49.486237
-27.967873,-49.895054
-22.689444,-45.481945
-27.967873,-49.895054
-26.462187,-52.568893
-29.458334,-50.581112
-26.037426,-52.67862
-27.422289,-50.765488
-22.703138,-45.47843
-27.502172,-50.860516
-29.408493,-50.45473
-27.48617,-50.809074
-29.442862,-50.611286
-22.691557,-45.50286
-29.458334,-50.581112
-27.023197,-51.090958
-22.691557,-45.50286
-26.037426,-52.67862
-26.069582,-51.17291
-22.261608,-44.507496
-22.691557,-45.50286
-22.693361,-45.500862
-20.685087,-43.30088
-22.261608,-44.507496
-29.425262,-50.392895
-29.442417,-50.555885
-29.458334,-50.581112
-29.458334,-50.581112
-27.978527,-49.486237
-29.480993,-50.17481
-22.691557,-45.50286
-26.462187,-52.568893
-29.458334,-50.581112
-29.423851,-50.38677
-27.951292,-49.93415
-21.66181,-43.905895
-27.490343,-50.980408
-27.967873,-49.895054
-25.339487,-49.208576
-27.013268,-51.094086
-22.73724,-45.58983
-26.037426,-52.67862
-25.782215,-52.2402
-21.987888,-43.899635
-27.952574,-49.93541
-29.423658,-50.57849
-29.427607,-50.39236
-25.888823,-50.26831
-26.037426,-52.67862
-26.070435,-51.172077
-25.099901,-48.811634
-22.689444,-45.481945
-22.691557,-45.50286
-25.6403,-51.48178
-22.7395,-45.558025
-22.691557,-45.50286
-26.577518,-52.560814
-25.016071,-47.9318
-22.691557,-45.50286
-26.462187,-52.568893
-22.693571,-45.490643
-25.339487,-49.208576
-27.395897,-50.746914
-26.324463,-53.29992
-22.689444,-45.481945
-29.480993,-50.17481
-22.689444,-45.481945
-27.023197,-51.090958
-22.689444,-45.481945
-28.057894,-49.36535
-29.458334,-50.581112
-29.15847,-50.079353
-22.691557,-45.50286
-22.740936,-45.56233
-26.652637,-49.5239
-29.451757,-50.595753
-26.591022,-49.333687
-22.693571,-45.490643
-25.099901,-48.811634
-22.739326,-45.591537
-25.128738,-48.022408
-22.710155,-45.552963
-26.462187,-52.568893
-20.692652,-43.309395
-27.951292,-49.93415
-29.32316,-50.815784
-29.461676,-50.581867
-26.462187,-52.568893
-19.407225,-42.65293
-27.95543,-49.87676
-22.807692,-45.99517
-26.006586,-51.667793
-22.860676,-46.02924
-29.458334,-50.581112
-22.691557,-45.50286
-20.685087,-43.30088
-19.150488,-40.06817
-29.378424,-50.87108
-22.707119,-45.46667
-27.739838,-51.173393
-25.216906,-48.038837
-19.776,-42.602
-22.693361,-45.500862
-27.978527,-49.486237
-22.73724,-45.58983
-29.15847,-50.079353
-27.978527,-49.486237
-29.458334,-50.581112
-22.714727,-45.55842
-29.158892,-50.08184
-27.978527,-49.486237
-26.037426,-52.67862
-29.176517,-50.436718
-27.540754,-50.856575
-25.098377,-48.808372
-26.462187,-52.568893
-27.490208,-50.980618
-22.691557,-45.50286
-29.458334,-50.581112
-22.731236,-45.59698
-27.978527,-49.486237
-27.978527,-49.486237
-22.691557,-45.50286
-29.378424,-50.87108
-27.739838,-51.173393
-26.462187,-52.568893
-26.37905,-52.120464
-22.261608,-44.507496
-22.691557,-45.50286
-29.458334,-50.581112
-26.462187,-52.568893
-22.863848,-46.038727
-22.691557,-45.50286
-22.713474,-45.601463
-29.480993,-50.17481
-27.978527,-49.486237
-22.709316,-45.548607
-25.099901,-48.811634
-18.87267,-42.887127
-20.685087,-43.30088
