"","latitude","longitude","country","species"
"1",19.2204,-42.4832,Brazil,Amazona vinacea
"2",-20.4661,-41.7314,Brazil,Amazona vinacea
"3",-22.686,-45.48,Brazil,Amazona vinacea
"4",-22.6681,-45.5031,Brazil,Amazona vinacea
"5",-22.6774,-45.4732,Brazil,Amazona vinacea
"6",-22.686,-45.48,Brazil,Amazona vinacea
"7",-22.666,-45.4534,Brazil,Amazona vinacea
"8",-19.7993,-41.7174,Brazil,Amazona vinacea
"9",-20.79,-42.8882,Brazil,Amazona vinacea
"10",-22.7008,-45.4964,Brazil,Amazona vinacea
"11",-22.7167,-45.6001,Brazil,Amazona vinacea
"12",-22.6681,-45.5031,Brazil,Amazona vinacea
"13",-22.7285,-44.6358,Brazil,Amazona vinacea
"14",-22.7285,-44.6358,Brazil,Amazona vinacea
"15",-22.87,-46.0309,Brazil,Amazona vinacea
"16",-19.2204,-42.4832,Brazil,Amazona vinacea
"17",-20.6665,-42.5222,Brazil,Amazona vinacea
"18",-17.5487,-40.6024,Brazil,Amazona vinacea
"19",-17.5487,-40.6024,Brazil,Amazona vinacea
"20",-17.5487,-40.6024,Brazil,Amazona vinacea
"21",-19.7323,-41.8141,Brazil,Amazona vinacea
"41",-24.3239002227783,-50.61560059,Brazil,Amazona vinacea
"50",-22.406586,-44.624233,Brazil,Amazona vinacea
"51",-22.689444,-45.481945,Brazil,Amazona vinacea
"52",-22.689444,-45.481945,Brazil,Amazona vinacea
"53",-29.465906,-50.677185,Brazil,Amazona vinacea
"54",-28.142239,-50.097656,Brazil,Amazona vinacea
"55",-29.465906,-50.677185,Brazil,Amazona vinacea
"56",-22.73724,-45.58983,Brazil,Amazona vinacea
"57",-22.689444,-45.481945,Brazil,Amazona vinacea
"58",-23.974018,-47.034702,Brazil,Amazona vinacea
"59",-23.974018,-47.034702,Brazil,Amazona vinacea
"60",-23.974018,-47.034702,Brazil,Amazona vinacea
"61",-23.974018,-47.034702,Brazil,Amazona vinacea
"62",-29.444382,-50.562775,Brazil,Amazona vinacea
"63",-29.444382,-50.562775,Brazil,Amazona vinacea
"64",-22.73724,-45.58983,Brazil,Amazona vinacea
"65",-22.73724,-45.58983,Brazil,Amazona vinacea
"66",-22.694319,-45.524296,Brazil,Amazona vinacea
"67",-22.689444,-45.481945,Brazil,Amazona vinacea
"68",-22.689444,-45.481945,Brazil,Amazona vinacea
"69",-22.689444,-45.481945,Brazil,Amazona vinacea
"70",-22.689444,-45.481945,Brazil,Amazona vinacea
"71",-22.689444,-45.481945,Brazil,Amazona vinacea
"72",-22.689444,-45.481945,Brazil,Amazona vinacea
"73",-22.689444,-45.481945,Brazil,Amazona vinacea
"74",-22.689444,-45.481945,Brazil,Amazona vinacea
"75",-22.689444,-45.481945,Brazil,Amazona vinacea
"76",-22.689444,-45.481945,Brazil,Amazona vinacea
"77",-22.689444,-45.481945,Brazil,Amazona vinacea
"78",-22.689444,-45.481945,Brazil,Amazona vinacea
"79",-22.689444,-45.481945,Brazil,Amazona vinacea
"80",-22.689444,-45.481945,Brazil,Amazona vinacea
"81",-22.689444,-45.481945,Brazil,Amazona vinacea
"82",-22.689444,-45.481945,Brazil,Amazona vinacea
"83",-22.689444,-45.481945,Brazil,Amazona vinacea
"84",-22.689444,-45.481945,Brazil,Amazona vinacea
"85",-22.689444,-45.481945,Brazil,Amazona vinacea
"86",-22.689444,-45.481945,Brazil,Amazona vinacea
"87",-22.689444,-45.481945,Brazil,Amazona vinacea
"88",-29.44292,-50.61154,Brazil,Amazona vinacea
"89",-29.155666,-50.062122,Brazil,Amazona vinacea
"90",-29.44292,-50.61154,Brazil,Amazona vinacea
"91",-29.44292,-50.61154,Brazil,Amazona vinacea
"92",-29.44292,-50.61154,Brazil,Amazona vinacea
"93",-22.73724,-45.58983,Brazil,Amazona vinacea
"94",-29.087921,-50.11877,Brazil,Amazona vinacea
"95",-22.689444,-45.481945,Brazil,Amazona vinacea
"96",-22.703138,-45.47843,Brazil,Amazona vinacea
"97",-22.703138,-45.47843,Brazil,Amazona vinacea
"98",-22.689444,-45.481945,Brazil,Amazona vinacea
"99",-22.703138,-45.47843,Brazil,Amazona vinacea
"100",-22.73724,-45.58983,Brazil,Amazona vinacea
"101",-22.689444,-45.481945,Brazil,Amazona vinacea
"102",-29.159657,-50.078945,Brazil,Amazona vinacea
"103",-22.5,-53.516667,Brazil,Amazona vinacea
"104",-24.583333,-51.333333,Brazil,Amazona vinacea
"105",-22.791142,-45.496956,Brazil,Amazona vinacea
"106",-22.689444,-45.481945,Brazil,Amazona vinacea
"107",-22.689444,-45.481945,Brazil,Amazona vinacea
"108",-22.689444,-45.481945,Brazil,Amazona vinacea
"109",-22.71,-45.55,Brazil,Amazona vinacea
"110",-22.689444,-45.481945,Brazil,Amazona vinacea
"111",-22.689444,-45.481945,Brazil,Amazona vinacea
"112",-22.73724,-45.58983,Brazil,Amazona vinacea
