"","longitude","latitude"
"7",-41.7174,-19.7993
"13",-42.5222,-20.6665
"14",-41.8141,-19.7323
"69",-40.683518,-18.811476
"71",-45.568065,-22.602285
"258",-46.198876,-22.841213
"282",-46.0670936,-23.0004777
"283",-41.086253,-20.083608
"284",-46.131257,-22.642795
"285",-44.787377,-22.038462
"287",-41.113181,-19.597231
"288",-41.106509,-19.44405
"289",-46.884167,-23.186667
"305",-43.78961,-21.923529
"327",-45.218674,-22.755672
"340",-41.628807,-19.604359
"342",-42.322777,-20.224337
"387",-41.730247,-20.467573
"408",-43.87984,-22.005514
"468",-42.220802,-20.21549
"581",-42.375122,-21.660118
"603",-42.730699,-20.454747
"628",-42.225914,-20.092289
"722",-44.615482,-21.47282
"745",-42.648087,-20.577572
"754",-44.61104,-22.444906
"779",-40.705833,-19.473581
"830",-43.560734,-21.15535
"900",-45.889923,-22.82748
"902",-44.696938,-22.229044
"929",-44.80104,-21.547333
"953",-45.642,-22.6797
"958",-42.54893,-19.546444
"983",-40.600278,-19.935556
"993",-40.7751667,-19.1581208
"1013",-41.9916344,-19.7326863
"1021",-44.6059627,-21.979097
"1035",-44.5707779,-21.6009923
"1048",-44.73,-22.33
"1056",-41.8997821,-20.518294
"1061",-46.077577,-22.861798
"1077",-42.8620648,-20.7982044
"1088",-45.8110049,-22.7459471
"1089",-42.1518095,-19.6808645
"1116",-41.8485761,-20.4148267
"1117",-44.5074965,-22.2616084
"1133",-43.9071258,-21.66514
"1138",-45.357584,-22.61571
"1167",-45.9933352,-22.8020724
"1173",-41.4659166,-19.6046155
"1189",-42.6067,-20.3149493
"1272",-45.496955,-22.791142
"1684",-45.6159639,-22.7690589
"1899",-45.4142189,-22.7179433
