"longitude","latitude"
-49.1212,-27.2042
-42.4832,-19.2204
-49.5848,-28.3286
-49.5,-28.13333
-51.1569794673,-26.3728600556
-41.9875635674,-20.5872432345
-49.4202688332,-27.1512551789
-54.5957404709,-25.6881516217
-43.049051675,-19.0726883472
-41.6275236756,-18.8231552992
-49.8095880778,-27.9923254148
-42.9482839564,-21.1519122848
-48.870702436,-26.7646751096
-53.9650710912,-26.4295438646
-49.8529805747,-26.2297735625
-42.4582477781,-19.5561791238
-50.745088511,-24.2635301692
-41.909221,-18.812989
-52.1963,-26.077461
-43.30088,-20.685087
-51.442535,-26.479334
-52.427193,-26.207186
-44.986286,-23.195251
-41.465916,-19.604616
-49.84235,-25.544281
-51.46591,-25.393078
-50.645317,-25.200138
-44.619595,-22.717306
-50.359596,-28.88149
-50.404694,-24.554058
-50.74241,-26.91687
-52.628357,-26.037134
-47.805164,-24.903929
-50.49468,-28.015335
-54.45637,-24.757904
-50.99104,-26.752565
-52.70012,-26.730976
-52.257484,-26.664103
-51.652622,-26.127153
-51.77953,-26.513437
-51.10079,-27.529762
-46.198876,-22.841213
-53.060043,-25.707628
-53.117523,-26.68905
-50.4381,-27.27671
-50.921894,-26.14827
-46.518414,-23.770893
-51.373913,-24.945017
-44.55287,-22.498352
-42.84702,-20.190737
-50.35894,-29.410189
-48.770958,-25.113697
-44.507496,-22.261608
-48.92871,-27.378702
-51.42267,-27.31725
-43.089504,-18.665428
-49.56803,-27.835796
-48.692066,-24.84619
-50.702614,-27.395496
-40.791811,-18.869729
-53.217377,-26.120462
-52.62994,-26.407509
-43.907127,-21.66514
-49.517506,-26.266348
-43.899624,-21.988024
-51.860798,-25.963375
-52.90207,-25.892498
-41.086253,-20.083608
-51.597378,-25.91816
-48.979824,-26.537949
-50.06528,-28.987675
-50.5138,-24.156536
-43.433296,-19.588354
-46.131257,-22.642795
-48.046986,-25.22102
-50.1625,-26.589245
-52.93567,-24.586163
-50.004585,-29.20833
-43.399933,-20.09419
-51.094086,-27.013268
-50.27333,-28.314272
-50.395557,-29.14611
-49.87014,-28.229565
-50.26831,-25.888823
-50.15985,-27.579836
-54.043658,-26.732011
-49.66236,-27.215921
-49.61626,-27.524132
-48.10861,-24.996298
-49.587757,-26.477318
-50.346016,-27.035467
-44.73,-22.33
-51.226237,-27.877003
-49.857895,-26.548655
-41.730247,-20.467573
-50.868896,-29.207754
-45.218674,-22.755672
-51.448997,-26.987349
-42.639507,-19.41854
-50.12138,-27.102615
-52.027714,-26.222834
-42.375122,-21.660118
-42.271347,-20.17345
-50.876385,-28.983624
-52.765003,-28.163542
-45.72361,-23.769875
-48.834633,-24.51615
-48.644558,-24.400333
-49.633396,-24.653044
-49.47991,-26.897694
-42.154625,-19.682245
-49.86852,-28.518099
-49.261852,-26.203512
-49.27205,-27.818598
-51.746624,-26.832401
-50.59714,-28.68895
-50.049004,-27.844707
-43.42475,-20.415442
-42.648087,-20.577572
-45.837395,-23.564577
-51.13564,-28.818558
-51.990677,-26.799477
-42.862064,-20.798204
-53.315224,-26.402653
-51.60714,-27.143095
-50.753006,-26.574873
-48.845634,-25.468634
-55.8,-26.43
-40.775166,-19.158121
-53.491108,-26.758625
-50.24357,-29.692303
-47.014336,-23.964434
-52.7692,-27.111547
-48.4128,-24.264833
-42.692139,-19.668082
-51.512608,-27.61649
-40.705833,-19.473581
-49.14246,-25.62457
-52.17142,-25.853373
-50.343796,-27.828411
-44.787377,-22.038462
-48.956657,-25.2543
-50.61047,-29.443123
-52.81737,-27.913536
-48.415,-24.9628
-53.49812,-27.61107
-44.729343,-23.100517
-46.28698,-24.015965
-44.58398,-21.61227
-49.682823,-23.243421
-54.698833,-24.637325
-51.601036,-24.546171
-50.402096,-27.621052
-44.80104,-21.547333
-45.571903,-22.793312
-43.541706,-21.15754
-51.354176,-26.019072
-41.867516,-19.731653
-44.2315,-19.953253
-45.472991,-22.601868
-43.18512,-19.96731
-45.530807,-23.261324
-45.889923,-22.82748
-53.803159,-26.592349
-49.03748,-27.675718
-51.645054,-25.698511
-42.73631,-20.01215
-49.34983,-26.653128
-49.690453,-26.698889
-49.1338,-28.037592
-56.0517,-24.86968
-49.136997,-25.388575
-50.71521,-28.206068
-50.49546,-28.433569
-54.37866,-24.372297
-55.393692,-24.160685
-42.887127,-18.87267
-50.097656,-28.142239
-49.333935,-27.383047
-41.106509,-19.44405
-52.1224,-25.6398
-52.492737,-26.583946
-51.25729,-26.624447
-43.382313,-18.907343
-43.326443,-19.16248
-43.20878,-19.49653
-40.06817,-19.150488
-45.14914,-23.33884
-42.634033,-20.285305
-48.872986,-27.90096
-50.867,-29.417
