"longitude","latitude"
-40.841806,-16.209755
-49.829717,-28.18219
-41.785164,-18.827534
-49.84235,-25.544281
-43.309395,-20.692652
-51.46591,-25.393078
-50.645317,-25.200138
-49.203503,-26.378235
-50.359596,-28.88149
-50.745089,-24.26353
-42.631203,-19.763391
-50.74241,-26.91687
-52.591343,-26.032621
-50.49468,-28.015335
-50.99104,-26.752565
-52.70012,-26.730976
-51.494537,-26.63634
-51.652622,-26.127153
-40.572052,-17.529064
-46.198876,-22.841213
-49.852981,-26.229774
-40.957292,-16.394845
-53.060043,-25.707628
-53.117523,-26.68905
-50.4381,-27.27671
-51.17825,-27.512518
-50.921894,-26.14827
-50.084484,-27.837963
-47.954136,-24.934729
-46.518414,-23.770893
-51.373913,-24.945017
-44.55287,-22.498352
-50.88172,-29.369963
-42.84702,-20.190737
-49.363194,-26.646807
-44.507496,-22.261608
-48.2388,-24.8444
-51.42141,-27.316444
-49.05373,-27.650957
-53.231518,-26.126871
-51.64285,-24.539373
-48.692066,-24.84619
-48.805805,-25.091747
-52.515114,-26.593196
-40.762977,-18.890431
-40.33905,-17.902796
-52.62412,-26.406563
-43.907127,-21.66514
-49.517506,-26.266348
-43.899635,-21.987888
-49.28052,-27.811752
-52.76736,-27.112858
-51.860798,-25.963375
-52.17138,-25.941814
-43.17404,-18.976793
-49.834903,-27.941442
-52.90207,-25.892498
-51.461494,-25.613165
-41.718716,-16.463182
-41.086253,-20.083608
-52.031147,-26.22401
-48.979824,-26.537949
-50.06528,-28.987675
-50.5138,-24.156536
-48.2985,-24.312246
-46.131257,-22.642795
-48.038837,-25.216906
-50.1625,-26.589245
-52.93567,-24.586163
-50.004585,-29.20833
-53.513126,-27.565079
-44.958588,-23.162851
-51.094086,-27.013268
-50.395557,-29.14611
-48.98999,-27.43288
-50.771492,-27.385855
-50.26831,-25.888823
-51.583385,-25.89384
-50.15985,-27.579836
-51.899315,-26.396843
-49.66236,-27.215921
-41.362026,-16.635721
-51.223369,-26.65527
-49.61626,-27.524132
-49.586205,-26.46707
-52.38738,-26.134731
-50.346016,-27.035467
-44.73,-22.33
-51.226237,-27.877003
-49.857895,-26.548655
-45.218674,-22.755672
-49.437187,-26.876652
-42.413414,-19.370085
-41.628807,-19.604359
-50.12138,-27.102615
-42.375122,-21.660118
-52.765003,-28.163542
-45.811005,-22.745947
-48.834633,-24.51615
-49.26652,-25.435299
-42.281433,-20.157146
-50.816666,-28.884787
-49.633396,-24.653044
-45.39259,-22.617435
-40.841866,-16.670465
-42.154625,-19.682245
-51.746624,-26.832401
-50.59714,-28.68895
-43.42475,-20.415442
-51.426617,-26.943537
-42.648087,-20.577572
-45.837395,-23.564577
-51.13744,-28.816532
-53.30728,-26.428652
-42.862064,-20.798204
-51.60714,-27.143095
-50.640827,-28.18296
-51.194992,-26.23784
-50.753006,-26.574873
-41.89978,-20.518293
-40.775166,-19.158121
-53.491108,-26.758625
-50.24357,-29.692303
-47.014336,-23.964434
-40.705833,-19.473581
-49.14246,-25.62457
-40.92573,-17.130098
-50.343796,-27.828411
-48.584843,-24.434723
-52.81737,-27.913536
-50.26482,-28.326502
-52.20088,-26.489967
-44.729343,-23.100517
-48.84727,-26.281755
-42.727303,-19.414816
-49.15021,-28.034021
-42.54893,-19.546444
-50.21293,-29.486155
-43.560734,-21.15535
-49.682823,-23.243421
-50.402096,-27.621052
-44.570778,-21.600992
-48.81067,-27.73223
-44.80104,-21.547333
-45.571903,-22.793312
-51.3943,-26.033772
-44.2315,-19.953253
-43.09209,-18.664745
-43.18512,-19.96731
-45.530807,-23.261324
-49.5848,-28.3286
-49.74323,-27.73764
-50.61554,-29.45126
-49.075283,-26.92957
-52.00352,-26.77597
-42.73631,-20.01215
-41.816998,-19.731714
-49.690453,-26.698889
-50.49546,-28.433569
-48.75009,-25.48441
-42.887127,-18.87267
-44.60596,-21.979097
-49.0524,-25.3067
-49.333935,-27.383047
-41.106509,-19.44405
-52.1224,-25.6398
-49.21514,-27.17375
-43.382313,-18.907343
-43.326443,-19.16248
-43.20878,-19.49653
-40.06817,-19.150488
-45.14914,-23.33884
-49.5,-28.13333
-42.634033,-20.285305
-41.755135,-16.854315
-48.570084,-25.062431
-46.79356,-24.112444
-49.585606,-27.8999
-50.02809,-28.450176
-43.48842,-20.097742
-44.6358,-22.7285
-47.977295,-24.136728
-51.30342,-26.421843
-50.035366,-28.067305
-46.884167,-23.186667
-51.5,-27.6
-40.600278,-19.935556
-51.333333,-24.583333
-53.516667,-22.5
-46.3503943,-23.2671788
-48.7917,-28.4917
-47.536278,-24.739733
-43.948208,-15.351589
-41.383358,-12.562269
