"longitude","latitude"
-49.1212,-27.2042
-42.4832,-19.2204
-54.0999,-26.6301
-49.5848,-28.3286
-50.8079,-29.0066
-42.5222,-20.6665
-51.1569794673,-26.3728600556
-40.7815472847,-18.8601654873
-50.6715495676,-26.8744764015
-49.4202688332,-27.1512551789
-41.9092209385,-18.812988516
-54.5957404709,-25.6881516217
-43.049051675,-19.0726883472
-50.8725652778,-29.2087220088
-42.8678705808,-21.0508532092
-41.6275236756,-18.8231552992
-48.870702436,-26.7646751096
-49.8529805747,-26.2297735625
-46.1988759123,-22.8412130533
-42.4582477781,-19.5561791238
-51.8224483935,-26.7530501801
-49.809588,-27.992325
-52.1963,-26.077461
-52.427193,-26.207186
-51.743744,-26.1535
-41.465916,-19.604616
-49.84235,-25.544281
-50.790745,-27.497639
-50.645317,-25.200138
-49.203503,-26.378235
-44.619595,-22.717306
-50.359596,-28.88149
-50.745089,-24.26353
-50.404694,-24.554058
-47.805164,-24.903929
-52.767525,-27.110743
-50.85491,-29.427965
-50.49468,-28.015335
-52.70012,-26.730976
-51.400833,-27.004435
-51.77953,-26.513437
-53.060043,-25.707628
-53.117523,-26.68905
-50.4381,-27.27671
-45.169296,-23.469725
-46.518414,-23.770893
-42.6067,-20.314949
-51.373913,-24.945017
-50.612015,-29.441814
-44.55287,-22.498352
-42.84702,-20.190737
-48.717976,-24.855883
-43.319576,-20.705395
-51.426826,-27.3198
-44.507496,-22.261608
-48.92871,-27.378702
-49.56803,-27.835796
-51.60323,-27.1399
-42.67094,-19.767807
-51.119267,-27.440243
-52.515114,-26.593196
-54.456444,-24.758087
-53.217377,-26.120462
-52.62412,-26.406563
-49.325256,-26.601461
-43.907127,-21.66514
-49.517506,-26.266348
-51.860798,-25.963375
-43.254097,-18.965982
-52.90207,-25.892498
-50.17481,-29.480993
-51.48178,-25.6403
-48.979824,-26.537949
-50.06528,-28.987675
-50.5138,-24.156536
-43.433296,-19.588354
-52.662754,-25.96955
-48.2985,-24.312246
-46.131257,-22.642795
-50.1625,-26.589245
-52.93567,-24.586163
-50.004585,-29.20833
-44.958588,-23.162851
-43.399933,-20.09419
-49.562954,-26.948582
-51.094086,-27.013268
-49.87014,-28.229565
-50.26831,-25.888823
-51.598354,-25.904398
-50.15985,-27.579836
-49.66236,-27.215921
-49.61626,-27.524132
-48.10861,-24.996298
-49.586205,-26.46707
-50.346016,-27.035467
-43.892292,-21.946955
-51.226237,-27.877003
-51.432064,-25.43552
-49.857895,-26.548655
-51.00127,-26.773088
-41.730247,-20.467573
-45.218674,-22.755672
-44.576477,-21.604555
-42.65293,-19.407225
-49.544434,-28.065458
-50.12138,-27.102615
-48.049774,-25.201033
-42.375122,-21.660118
-42.15181,-19.680864
-52.765003,-28.163542
-45.72361,-23.769875
-52.81526,-27.913567
-48.8809,-24.453846
-49.633396,-24.653044
-45.39259,-22.617435
-49.86852,-28.518099
-49.27205,-27.818598
-51.07107,-26.170952
-50.59714,-28.68895
-50.049004,-27.844707
-52.030872,-26.226475
-43.42475,-20.415442
-42.228294,-20.22067
-45.837395,-23.564577
-54.378563,-24.373846
-52.018353,-26.873066
-53.30728,-26.428652
-42.862064,-20.798204
-51.13433,-28.819855
-50.753006,-26.574873
-48.845634,-25.468634
-55.8,-26.43
-40.775166,-19.158121
-53.491108,-26.758625
-50.24357,-29.692303
-52.25268,-26.655283
-51.512608,-27.61649
-40.705833,-19.473581
-49.14246,-25.62457
-52.17142,-25.853373
-50.343796,-27.828411
-44.787377,-22.038462
-48.572792,-24.418722
-48.8034,-25.0834
-48.956657,-25.2543
-50.26482,-28.326502
-48.415,-24.9628
-53.49812,-27.61107
-44.729343,-23.100517
-46.28698,-24.015965
-44.724613,-22.36484
-43.560734,-21.15535
-49.682823,-23.243421
-51.601036,-24.546171
-50.402096,-27.621052
-44.80104,-21.547333
-45.571903,-22.793312
-51.354176,-26.019072
-41.809845,-19.723646
-44.2315,-19.953253
-43.18512,-19.96731
-45.530807,-23.261324
-45.889923,-22.82748
-53.938807,-26.422768
-53.803159,-26.592349
-43.20936,-18.69105
-54.633335,-24.466667
-42.73631,-20.01215
-41.123425,-20.076256
-49.67773,-26.713606
-49.1338,-28.037592
-56.0517,-24.86968
-49.136997,-25.388575
-50.71521,-28.206068
-49.07524,-27.65241
-50.49546,-28.433569
-51.493843,-26.641052
-55.393692,-24.160685
-42.887127,-18.87267
-47.034702,-23.974018
-41.987564,-20.587243
-50.097656,-28.142239
-49.333935,-27.383047
-50.490837,-29.19662
-41.113181,-19.597231
-52.1224,-25.6398
-51.25729,-26.624447
-43.326443,-19.16248
-43.20878,-19.49653
-40.06817,-19.150488
-48.872986,-27.90096
