"longitude","latitude"
-50.3845,-25.8681
-49.1212,-27.2042
-41.731431,-20.466098
-49.5848,-28.3286
-49.5,-28.13333
-51.1569794673,-26.3728600556
-41.9875635674,-20.5872432345
-49.4202688332,-27.1512551789
-54.5957404709,-25.6881516217
-42.8518885758,-21.1318545124
-41.6275236756,-18.8231552992
-48.870702436,-26.7646751096
-41.9478870163,-18.8871224719
-52.515114414,-26.5931957685
-40.6835184654,-18.8114755381
-46.1954447159,-22.9797519433
-53.9650710912,-26.4295438646
-49.8529805747,-26.2297735625
-49.8742408073,-28.2545113959
-42.4582477781,-19.5561791238
-54.0879536147,-26.6989533262
-50.745088511,-24.2635301692
-51.8224483935,-26.7530501801
-50.872565,-29.208722
-52.1963,-26.077461
-52.427193,-26.207186
-50.13186,-27.926237
-51.168858,-27.734621
-51.659454,-26.1085
-49.84235,-25.544281
-43.309395,-20.692652
-51.46591,-25.393078
-50.645317,-25.200138
-44.619595,-22.717306
-50.359596,-28.88149
-49.849728,-28.020298
-50.74241,-26.91687
-47.805164,-24.903929
-50.85491,-29.427965
-50.49468,-28.015335
-50.99104,-26.752565
-52.70012,-26.730976
-52.257484,-26.664103
-51.400833,-27.004435
-49.533432,-26.26182
-51.10079,-27.529762
-53.060043,-25.707628
-53.117523,-26.68905
-50.4381,-27.27671
-51.108932,-26.162706
-46.518414,-23.770893
-42.6067,-20.314949
-51.373913,-24.945017
-42.84702,-20.190737
-48.717976,-24.855883
-42.602375,-19.776823
-51.602917,-27.142761
-51.9915,-26.485731
-44.507496,-22.261608
-48.92871,-27.378702
-51.42267,-27.31725
-43.089504,-18.665428
-49.56803,-27.835796
-50.31016,-24.524603
-51.64285,-24.539373
-48.805805,-25.091747
-53.217377,-26.120462
-52.62994,-26.407509
-43.907127,-21.66514
-49.28052,-27.811752
-52.76736,-27.112858
-42.654255,-19.38903
-43.17404,-18.976793
-52.90207,-25.892498
-51.48178,-25.6403
-50.12759,-27.107958
-41.086253,-20.083608
-48.979824,-26.537949
-50.06528,-28.987675
-50.5138,-24.156536
-43.433296,-19.588354
-52.662754,-25.96955
-48.2985,-24.312246
-46.131257,-22.642795
-48.038837,-25.216906
-54.457943,-24.760738
-50.1625,-26.589245
-52.93567,-24.586163
-50.004585,-29.20833
-53.513126,-27.565079
-44.958588,-23.162851
-43.399933,-20.09419
-51.094086,-27.013268
-50.395557,-29.14611
-50.77813,-27.424295
-51.583385,-25.89384
-50.15985,-27.579836
-51.13441,-28.81961
-49.66236,-27.215921
-51.223369,-26.65527
-49.61626,-27.524132
-49.950207,-27.791883
-48.10861,-24.996298
-49.587757,-26.477318
-51.49459,-26.637802
-50.346016,-27.035467
-44.73,-22.33
-43.892292,-21.946955
-49.372234,-26.559101
-49.857895,-26.548655
-45.218674,-22.755672
-41.628807,-19.604359
-52.027714,-26.222834
-42.375122,-21.660118
-50.876385,-28.983624
-42.40568,-19.332022
-52.765003,-28.163542
-42.27987,-20.156586
-45.72361,-23.769875
-42.11745,-19.72269
-52.81526,-27.913567
-48.834633,-24.51615
-49.633396,-24.653044
-51.894485,-25.779743
-45.615963,-22.769058
-49.47991,-26.897694
-49.86852,-28.518099
-50.59714,-28.68895
-43.42475,-20.415442
-42.648087,-20.577572
-45.837395,-23.564577
-52.06117,-26.779934
-53.30728,-26.428652
-50.753006,-26.574873
-55.8,-26.43
-40.775166,-19.158121
-53.491108,-26.758625
-50.24357,-29.692303
-51.512608,-27.61649
-40.705833,-19.473581
-49.14246,-25.62457
-52.17142,-25.853373
-50.26097,-29.326982
-50.343796,-27.828411
-48.584843,-24.434723
-48.956657,-25.2543
-44.729343,-23.100517
-49.26085,-26.192076
-50.261036,-28.502413
-46.28698,-24.015965
-44.58398,-21.61227
-49.682823,-23.243421
-54.698833,-24.637325
-50.402096,-27.621052
-44.80104,-21.547333
-43.541706,-21.15754
-51.354176,-26.019072
-44.2315,-19.953253
-45.414532,-22.630312
-43.18512,-19.96731
-45.530807,-23.261324
-45.889923,-22.82748
-53.803159,-26.592349
-49.03748,-27.675718
-42.73631,-20.01215
-41.816998,-19.731714
-49.690453,-26.698889
-48.416378,-24.962786
-49.1338,-28.037592
-56.0517,-24.86968
-49.136997,-25.388575
-50.71521,-28.206068
-50.49546,-28.433569
-54.37866,-24.372297
-48.75009,-25.48441
-55.393692,-24.160685
-42.887127,-18.87267
-44.60596,-21.979097
-42.864273,-20.80127
-47.034702,-23.974018
-50.097656,-28.142239
-49.333935,-27.383047
-50.611824,-29.442699
-41.113181,-19.597231
-52.1224,-25.6398
-43.382313,-18.907343
-43.326443,-19.16248
-43.20878,-19.49653
-40.06817,-19.150488
-45.14914,-23.33884
-48.872986,-27.90096
