"longitude","latitude"
-50.3845,-25.8681
-42.4832,-19.2204
-49.5848,-28.3286
-49.58,-27.83
-44.6358,-22.7285
-43.049051675,-19.0726883472
-42.8678705808,-21.0508532092
-41.6275236756,-18.8231552992
-40.7918108375,-18.8697285588
-48.870702436,-26.7646751096
-41.9478870163,-18.8871224719
-49.8529805747,-26.2297735625
-49.8742408073,-28.2545113959
-46.1988759123,-22.8412130533
-41.5434951562,-19.5415602663
-52.1963,-26.077461
-52.427193,-26.207186
-51.173393,-27.739838
-43.31181,-20.699787
-49.84235,-25.544281
-50.645317,-25.200138
-49.203503,-26.378235
-50.359596,-28.88149
-50.745089,-24.26353
-42.631203,-19.763391
-47.9318,-25.016071
-50.74241,-26.91687
-52.628357,-26.037134
-52.768436,-27.116165
-50.85491,-29.427965
-50.49468,-28.015335
-52.70012,-26.730976
-51.652622,-26.127153
-53.060043,-25.707628
-50.777996,-27.431942
-53.117523,-26.68905
-50.4381,-27.27671
-51.17825,-27.512518
-50.921894,-26.14827
-45.62065,-22.761477
-46.518414,-23.770893
-49.521976,-26.242615
-51.373913,-24.945017
-44.55287,-22.498352
-42.84702,-20.190737
-48.717976,-24.855883
-51.602917,-27.142761
-51.426826,-27.3198
-49.55377,-27.275772
-44.507496,-22.261608
-48.2388,-24.8444
-48.92871,-27.378702
-50.986996,-26.788473
-53.231518,-26.126871
-49.333687,-26.591022
-52.515114,-26.593196
-52.62412,-26.406563
-43.905895,-21.66181
-43.90182,-21.99506
-49.28052,-27.811752
-51.860798,-25.963375
-43.254097,-18.965982
-50.026146,-27.759804
-52.90207,-25.892498
-50.17481,-29.480993
-41.086253,-20.083608
-51.597378,-25.91816
-48.979824,-26.537949
-50.06528,-28.987675
-50.5138,-24.156536
-46.131257,-22.642795
-48.038837,-25.216906
-50.1625,-26.589245
-52.93567,-24.586163
-50.004585,-29.20833
-44.958588,-23.162851
-51.094086,-27.013268
-42.725796,-19.41644
-50.15985,-27.579836
-49.61626,-27.524132
-49.587757,-26.477318
-50.346016,-27.035467
-51.432064,-25.43552
-49.857895,-26.548655
-50.868896,-29.207754
-45.218674,-22.755672
-49.437187,-26.876652
-49.544434,-28.065458
-50.12138,-27.102615
-51.99683,-26.553736
-52.027714,-26.222834
-42.375122,-21.660118
-52.765003,-28.163542
-48.8809,-24.453846
-49.633396,-24.653044
-45.39259,-22.617435
-42.154625,-19.682245
-49.86852,-28.518099
-51.746624,-26.832401
-50.59714,-28.68895
-53.259636,-26.357958
-43.42475,-20.415442
-51.426617,-26.943537
-42.648087,-20.577572
-42.228294,-20.22067
-45.837395,-23.564577
-52.06117,-26.779934
-51.13433,-28.819855
-51.194992,-26.23784
-50.753006,-26.574873
-50.81785,-28.948103
-40.775166,-19.158121
-53.491108,-26.758625
-50.24357,-29.692303
-47.014336,-23.964434
-52.25268,-26.655283
-48.4128,-24.264833
-40.705833,-19.473581
-49.14246,-25.62457
-52.17142,-25.853373
-50.343796,-27.828411
-48.584843,-24.434723
-44.787377,-22.038462
-48.8034,-25.0834
-48.956657,-25.2543
-52.81737,-27.913536
-53.49812,-27.61107
-44.729343,-23.100517
-50.261036,-28.502413
-44.724613,-22.36484
-42.54893,-19.546444
-49.682823,-23.243421
-51.601036,-24.546171
-49.85365,-27.92958
-50.402096,-27.621052
-44.570778,-21.600992
-44.80104,-21.547333
-43.541706,-21.15754
-51.354176,-26.019072
-44.2315,-19.953253
-41.730213,-20.46585
-43.18512,-19.96731
-45.530807,-23.261324
-45.889923,-22.82748
-49.03748,-27.675718
-51.645054,-25.698511
-43.20936,-18.69105
-49.2921,-27.475
-42.73631,-20.01215
-41.816998,-19.731714
-49.690453,-26.698889
-49.1338,-28.037592
-49.136997,-25.388575
-50.71521,-28.206068
-50.49546,-28.433569
-51.493843,-26.641052
-48.75009,-25.48441
-42.887127,-18.87267
-50.418335,-29.082222
-42.864273,-20.80127
-50.097656,-28.142239
-41.113181,-19.597231
-52.1224,-25.6398
-51.25729,-26.624447
-43.326443,-19.16248
-43.20878,-19.49653
-49.15702,-27.106106
-45.14914,-23.33884
-42.634033,-20.285305
-48.872986,-27.90096
-50.611084,-29.443054
-48.570084,-25.062431
-46.79356,-24.112444
-43.48842,-20.097742
-47.977295,-24.136728
-51.30342,-26.421843
-51.5,-27.6
-51.333333,-24.583333
