"id","lat","lon","date","country","species","database"
"4597317797",-16.209755,-40.841806,2024-02-29,"Brazil","Amazona vinacea","Gbif"
"4851836747",-18.887122,-41.947887,2024-03-07,"Brazil","Amazona vinacea","Gbif"
"4875300045",-27.992325,-49.809588,2024-05-23,"Brazil","Amazona vinacea","Gbif"
"4875244767",-27.860556,-49.91929,2024-05-23,"Brazil","Amazona vinacea","Gbif"
"4875385774",-28.18219,-49.829717,2024-05-22,"Brazil","Amazona vinacea","Gbif"
"4908818043",-27.907873,-49.890268,2024-05-30,"Brazil","Amazona vinacea","Gbif"
"4891751669",-19.685109,-42.681675,2024-06-04,"Brazil","Amazona vinacea","Gbif"
"4902008252",-18.827534,-41.785164,2024-06-13,"Brazil","Amazona vinacea","Gbif"
"4901959587",-19.479992,-42.678766,2024-06-15,"Brazil","Amazona vinacea","Gbif"
"4911050041",-29.208722,-50.872565,2024-07-20,"Brazil","Amazona vinacea","Gbif"
"4910793038",-22.668813,-45.441716,2024-07-20,"Brazil","Amazona vinacea","Gbif"
"4910872203",-26.578192,-53.911517,2024-07-21,"Argentina","Amazona vinacea","Gbif"
"4919133148",-26.459187,-53.978173,2024-07-21,"Argentina","Amazona vinacea","Gbif"
"4946635332",-18.812989,-41.909221,2024-08-28,"Brazil","Amazona vinacea","Gbif"
"4760635378",-26.077461,-52.1963,2023-01-02,"Brazil","Amazona vinacea","Gbif"
"4753327462",-22.689444,-45.481945,2023-01-02,"Brazil","Amazona vinacea","Gbif"
"4669909552",-29.458334,-50.581112,2023-01-02,"Brazil","Amazona vinacea","Gbif"
"4685768214",-28.028858,-49.612507,2023-01-07,"Brazil","Amazona vinacea","Gbif"
"4753235323",-27.978527,-49.486237,2023-01-08,"Brazil","Amazona vinacea","Gbif"
"4774532978",-25.099901,-48.811634,2023-01-10,"Brazil","Amazona vinacea","Gbif"
"4647851358",-26.462187,-52.568893,2023-01-11,"Brazil","Amazona vinacea","Gbif"
"4769485007",-20.685087,-43.30088,2023-01-11,"Brazil","Amazona vinacea","Gbif"
"4608877529",-26.479334,-51.442535,2023-01-12,"Brazil","Amazona vinacea","Gbif"
"4696437473",-27.979912,-49.505585,2023-01-15,"Brazil","Amazona vinacea","Gbif"
"4766364498",-27.96954,-49.497803,2023-01-18,"Brazil","Amazona vinacea","Gbif"
"4613783302",-22.700949,-45.482746,2023-01-19,"Brazil","Amazona vinacea","Gbif"
"4769458333",-22.724417,-45.458366,2023-01-19,"Brazil","Amazona vinacea","Gbif"
"4637250024",-22.692125,-45.49117,2023-01-19,"Brazil","Amazona vinacea","Gbif"
"4701888676",-22.70236,-45.47256,2023-01-19,"Brazil","Amazona vinacea","Gbif"
"4622792783",-22.709887,-45.46934,2023-01-19,"Brazil","Amazona vinacea","Gbif"
"4696898710",-24.783333,-54.433334,2023-01-08,"Paraguay","Amazona vinacea","Gbif"
"4687228716",-26.207186,-52.427193,2023-01-21,"Brazil","Amazona vinacea","Gbif"
"4614107992",-26.611935,-49.442684,2023-01-22,"Brazil","Amazona vinacea","Gbif"
"4769578893",-28.001665,-49.54776,2023-01-22,"Brazil","Amazona vinacea","Gbif"
"4689981737",-29.365183,-50.824043,2023-01-22,"Brazil","Amazona vinacea","Gbif"
"4658688139",-25.051165,-48.606834,2023-01-28,"Brazil","Amazona vinacea","Gbif"
"4776114972",-27.926237,-50.13186,2023-01-29,"Brazil","Amazona vinacea","Gbif"
"4609877872",-23.195251,-44.986286,2023-01-30,"Brazil","Amazona vinacea","Gbif"
