"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","user_id","user_name","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"Amazona vinacea","2024-10-11 06:23:17 -0300","","Bahia, BR",-16.308768739,-39.008756981,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/246752988","https://static.inaturalist.org/photos/440572218/medium.jpeg","anerleia1",246752988,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2024-10-11 06:23:17-03:00","2024-10-11","2024-10-11 09:23:17 UTC","America/Bahia",NA,30826,"","obscured","true","","",7602456,"Anerléia Bento","2024-10-11 11:06:50 UTC","2024-10-12 08:48:57 UTC","research","","",3,"false"
"Amazona vinacea","2024-07-18 07:36:00 -0300","","Santa Catarina, BR",-26.3728600556,-51.1569794673,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/246479858","https://inaturalist-open-data.s3.amazonaws.com/photos/440031713/medium.jpeg","thiago_ehlert",246479858,"Papagaio-de-Peito-Roxo","Aves",18986,3,0,"2024/07/18 7:36 AM","2024-07-18","2024-07-18 10:36:00 UTC","Brasilia",122,29868,"","obscured","true","","",8634722,"Thiago Ehlert","2024-10-09 14:58:26 UTC","2024-10-10 11:56:19 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-08-04 16:51:00 -0300","","Santa Catarina, BR",-27.1761727236,-49.4516732055,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/245957619","https://inaturalist-open-data.s3.amazonaws.com/photos/438994379/medium.jpeg","jonathan_ehlert",245957619,"Papagaio-de-peito-roxo","Aves",18986,2,0,"2024/08/04 16:51","2024-08-04","2024-08-04 19:51:00 UTC","Brasilia",15,29775,"","obscured","true","","",7496812,"Jonathan Lorencetti Ehlert","2024-10-06 14:50:54 UTC","2024-10-06 15:36:20 UTC","research","CC-BY-NC","https://static.inaturalist.org/sounds/1223485.mp3?1728226222",NA,"false"
"Amazona vinacea","2024-03-26 17:11:00 -0300","","Espírito Santo, BR",-18.8524460689,-40.7768999504,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/245340046","https://inaturalist-open-data.s3.amazonaws.com/photos/437779702/medium.jpg","vitorcdg",245340046,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/03/26 17:11","2024-03-26","2024-03-26 20:11:00 UTC","Brasilia",NA,30615,"obscured","obscured","true","","",6963474,"Vitor Corrêa Dias","2024-10-03 02:41:51 UTC","2024-10-03 13:19:32 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-03-26 16:42:00 -0300","","Espírito Santo, BR",-18.8601654873,-40.7815472847,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/245340023","https://inaturalist-open-data.s3.amazonaws.com/photos/437779616/medium.jpg","vitorcdg",245340023,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/03/26 16:42","2024-03-26","2024-03-26 19:42:00 UTC","Brasilia",NA,30615,"obscured","obscured","true","","",6963474,"Vitor Corrêa Dias","2024-10-03 02:41:46 UTC","2024-10-03 09:29:33 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-03-26 16:31:00 -0300","","Espírito Santo, BR",-18.9539813574,-40.7975677076,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/245340020","https://inaturalist-open-data.s3.amazonaws.com/photos/437779913/medium.jpg","vitorcdg",245340020,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/03/26 16:31","2024-03-26","2024-03-26 19:31:00 UTC","Brasilia",NA,30615,"obscured","obscured","true","","",6963474,"Vitor Corrêa Dias","2024-10-03 02:41:45 UTC","2024-10-03 09:30:07 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2024-08-03 16:23:00 -0300","","Santa Catarina, BR",-26.8744764015,-50.6715495676,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/245101959","https://inaturalist-open-data.s3.amazonaws.com/photos/437310907/medium.jpg","rohdengabriel",245101959,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2024/08/03 16:23","2024-08-03","2024-08-03 19:23:00 UTC","Brasilia",1243,29798,"","obscured","true","","",4632595,"Gabriel Broering Rohden","2024-10-01 17:26:13 UTC","2024-10-01 17:31:00 UTC","research","CC-BY-NC","",NA,"false"
"Amazona vinacea","2022-02-16 18:18:00 -0300","","Santa Catarina, BR",-26.6004311916,-51.89987687,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/245051080","https://static.inaturalist.org/photos/437216007/medium.jpg","lmaltaborges",245051080,"Papagaio-de-peito-roxo","Aves",18986,1,0,"2022/02/16 18:18","2022-02-16","2022-02-16 21:18:00 UTC","Brasilia",28196,29822,"","obscured","true","","",2360861,"Leandro Malta Borges","2024-10-01 11:05:29 UTC","2024-10-01 14:09:30 UTC","research","","",NA,"false"
"Amazona vinacea","2024-09-26 13:47:25 +0200","","Lesser Poland, PL",50.072257264,19.9451469657,"","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/244722581","https://inaturalist-open-data.s3.amazonaws.com/photos/436571275/medium.jpeg","animaluki",244722581,"Vinaceous-breasted Parrot","Aves",18986,0,0,"2024-09-26 13:47:25","2024-09-26","2024-09-26 11:47:25 UTC","Warsaw",NA,26421,"","obscured","true","gps","gps",7806073,"","2024-09-29 16:09:27 UTC","2024-09-29 16:09:33 UTC","casual","CC-BY-NC","",2,"true"
"Amazona vinacea","2013-10-27 07:55:00 -0200","","Rio Grande do Sul, BR",-29.3694927859,-50.8961539558,"Amazone vineuse Amazona vinacea","Vinaceous-breasted Parrot","https://www.inaturalist.org/observations/243846369","https://inaturalist-open-data.s3.amazonaws.com/photos/434868165/medium.jpg","ochaline",243846369,"Amazone vineuse","Aves",18986,1,0,"2013/10/27 07:55","2013-10-27","2013-10-27 09:55:00 UTC","Brasilia",NA,29508,"","obscured","true","","",5170563,"Chaline Olivier","2024-09-24 19:23:28 UTC","2024-09-24 19:24:57 UTC","research","CC-BY-NC","",NA,"false"
