"id","lat","lon","date","country","species","database"
246752988,-16.308768739,-39.008756981,2024-10-11,"Brazil","Amazona vinacea","iNaturalist"
246479858,-26.3728600556,-51.1569794673,2024-07-18,"Brazil","Amazona vinacea","iNaturalist"
245957619,-27.1761727236,-49.4516732055,2024-08-04,"Brazil","Amazona vinacea","iNaturalist"
245340046,-18.8524460689,-40.7768999504,2024-03-26,"Brazil","Amazona vinacea","iNaturalist"
245340023,-18.8601654873,-40.7815472847,2024-03-26,"Brazil","Amazona vinacea","iNaturalist"
245340020,-18.9539813574,-40.7975677076,2024-03-26,"Brazil","Amazona vinacea","iNaturalist"
245101959,-26.8744764015,-50.6715495676,2024-08-03,"Brazil","Amazona vinacea","iNaturalist"
245051080,-26.6004311916,-51.89987687,2022-02-16,"Brazil","Amazona vinacea","iNaturalist"
244722581,50.072257264,19.9451469657,2024-09-26,"Poland","Amazona vinacea","iNaturalist"
243846369,-29.3694927859,-50.8961539558,2013-10-27,"Brazil","Amazona vinacea","iNaturalist"
243842914,-20.5872432345,-41.9875635674,2013-10-05,"Brazil","Amazona vinacea","iNaturalist"
242902006,-27.1512551789,-49.4202688332,2024-09-20,"Brazil","Amazona vinacea","iNaturalist"
242260051,-22.6880382552,-45.4956188122,2022-07-20,"Brazil","Amazona vinacea","iNaturalist"
241033455,-18.812988516,-41.9092209385,2024-08-28,"Brazil","Amazona vinacea","iNaturalist"
240550218,-21.0954009911,-42.985026111,2024-09-08,"Brazil","Amazona vinacea","iNaturalist"
240546200,49.9854539738,18.277784315,2024-08-28,"Czech Republic","Amazona vinacea","iNaturalist"
239419180,-25.6881516217,-54.5957404709,2015-05-07,"Brazil","Amazona vinacea","iNaturalist"
238401521,-19.0726883472,-43.049051675,2016-07-07,"Brazil","Amazona vinacea","iNaturalist"
238302105,-22.6666188451,-45.5702720503,2024-08-19,"Brazil","Amazona vinacea","iNaturalist"
237727692,-27.8233986673,-49.9783487616,2021-08-14,"Brazil","Amazona vinacea","iNaturalist"
234823165,50.7688150867,17.8988612502,2024-08-06,"Poland","Amazona vinacea","iNaturalist"
232592052,-26.4591869376,-53.9781733058,2024-07-21,"Argentina","Amazona vinacea","iNaturalist"
230971365,-26.5781916939,-53.911517468,2024-07-21,"Argentina","Amazona vinacea","iNaturalist"
230899476,-22.6688129674,-45.4417161685,2024-07-20,"Brazil","Amazona vinacea","iNaturalist"
230632791,-29.2087220088,-50.8725652778,2024-07-20,"Brazil","Amazona vinacea","iNaturalist"
230480205,-21.0508532092,-42.8678705808,2024-07-18,"Brazil","Amazona vinacea","iNaturalist"
227614722,-27.9078725686,-49.8902676936,2024-05-30,"Brazil","Amazona vinacea","iNaturalist"
226218236,-21.1318545124,-42.8518885758,2024-06-30,"Brazil","Amazona vinacea","iNaturalist"
223411166,-19.4799920921,-42.6787655688,2024-06-15,"Brazil","Amazona vinacea","iNaturalist"
222655781,-18.8275343771,-41.7851640465,2024-06-13,"Brazil","Amazona vinacea","iNaturalist"
222478918,-18.8231552992,-41.6275236756,2024-06-13,"Brazil","Amazona vinacea","iNaturalist"
222076804,-18.8904314604,-40.7629771932,2023-12-22,"Brazil","Amazona vinacea","iNaturalist"
222076793,-18.8697285588,-40.7918108375,2023-12-19,"Brazil","Amazona vinacea","iNaturalist"
222008657,-22.6743983556,-45.5213326071,2018-10-28,"Brazil","Amazona vinacea","iNaturalist"
221083143,-19.6851089803,-42.6816746468,2024-06-04,"Brazil","Amazona vinacea","iNaturalist"
219624179,-28.1821895494,-49.8297167642,2024-05-22,"Brazil","Amazona vinacea","iNaturalist"
219623937,-27.8605558959,-49.9192899734,2024-05-23,"Brazil","Amazona vinacea","iNaturalist"
219623641,-27.9923254148,-49.8095880778,2024-05-23,"Brazil","Amazona vinacea","iNaturalist"
214638834,-21.1519122848,-42.9482839564,2023-11-11,"Brazil","Amazona vinacea","iNaturalist"
213763976,-26.7646751096,-48.870702436,2023-09-16,"Brazil","Amazona vinacea","iNaturalist"
208032525,-18.8871224719,-41.9478870163,2024-03-07,"Brazil","Amazona vinacea","iNaturalist"
201781057,-23.5896318131,-46.5082019361,2024-03-09,"Brazil","Amazona vinacea","iNaturalist"
201069492,-16.2097549815,-40.8418061632,2024-02-29,"Brazil","Amazona vinacea","iNaturalist"
199314039,-22.6913752979,-45.4914352438,2019-05-02,"Brazil","Amazona vinacea","iNaturalist"
197901543,-26.6425182009,-54.0645116013,2023-02-09,"Argentina","Amazona vinacea","iNaturalist"
197796238,-26.5931957685,-52.515114414,2023-12-09,"Brazil","Amazona vinacea","iNaturalist"
197279144,-18.8114755381,-40.6835184654,2023-12-17,"Brazil","Amazona vinacea","iNaturalist"
196721217,-29.276229879,-50.8956796866,2023-09-13,"Brazil","Amazona vinacea","iNaturalist"
196045437,-26.5609136556,-53.8840663964,2023-09-21,"Argentina","Amazona vinacea","iNaturalist"
195975094,-16.2749016597,-40.8907677473,2024-01-06,"Brazil","Amazona vinacea","iNaturalist"
195179477,-29.3151971791,-50.9816730766,2023-08-04,"Brazil","Amazona vinacea","iNaturalist"
194230635,-29.3854162529,-50.8959388308,2023-11-16,"Brazil","Amazona vinacea","iNaturalist"
192736064,-22.7588071068,-45.5586965389,2016-03-22,"Brazil","Amazona vinacea","iNaturalist"
192589512,-29.4495229425,-50.3950529788,2023-11-27,"Brazil","Amazona vinacea","iNaturalist"
191866333,-22.9783133214,-46.0643849028,2023-11-19,"Brazil","Amazona vinacea","iNaturalist"
191678781,-22.8065089403,-46.1430886217,2023-11-19,"Brazil","Amazona vinacea","iNaturalist"
191678758,-22.9797519433,-46.1954447159,2023-11-18,"Brazil","Amazona vinacea","iNaturalist"
190547203,-26.4894883536,-53.8990438113,2023-11-10,"Argentina","Amazona vinacea","iNaturalist"
189125602,-26.4295438646,-53.9650710912,2023-03-26,"Argentina","Amazona vinacea","iNaturalist"
188704651,-26.55331822,-52.4481946421,2023-10-21,"Brazil","Amazona vinacea","iNaturalist"
188198746,-18.9351523246,-41.8082812141,2023-10-19,"Brazil","Amazona vinacea","iNaturalist"
186920005,-16.1118516227,-41.0680761265,2021-12-03,"Brazil","Amazona vinacea","iNaturalist"
186919841,-16.2302333223,-41.0345252808,2021-12-03,"Brazil","Amazona vinacea","iNaturalist"
185643924,-26.7913321535,-51.8703805314,2023-05-05,"Brazil","Amazona vinacea","iNaturalist"
184426510,-16.3948446612,-40.9572917137,2023-06-10,"Brazil","Amazona vinacea","iNaturalist"
183141718,-29.2164636022,-50.8389248735,2023-08-03,"Brazil","Amazona vinacea","iNaturalist"
182508489,-26.6033640971,-52.0694996033,2017-11-07,"Brazil","Amazona vinacea","iNaturalist"
181455947,-16.347561696,-40.9628557778,2023-09-02,"Brazil","Amazona vinacea","iNaturalist"
181266266,-26.485033325,-53.8487415933,2023-08-30,"Argentina","Amazona vinacea","iNaturalist"
180849625,-26.4467827892,-52.5229276282,2023-08-29,"Brazil","Amazona vinacea","iNaturalist"
179749698,-23.1379649077,-44.8558550153,2023-08-22,"Brazil","Amazona vinacea","iNaturalist"
179715822,-22.6022847297,-45.5680645732,2022-12-28,"Brazil","Amazona vinacea","iNaturalist"
