"id","gen","sp","ssp","group","en","rec","cnt","loc","lat","lng","alt","type","sex","stage","method","url","file","file-name","sono.small","sono.med","sono.large","sono.full","osci.small","osci.med","osci.large","lic","q","length","time","date","uploaded","also","rmk","bird-seen","animal-seen","playback-used","temp","regnr","auto","dvc","mic","smp"
"421815","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Fernando Igor de Godoy","Brazil","Monte Alegre, Telêmaco Borba, Paraná","-24.2783","-50.5306","850","call","","","field recording","//xeno-canto.org/421815","https://xeno-canto.org/421815/download","XC421815-1976 Amazona vinacea (calls)Harmonia_160816_FIG.mp3",//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC421815-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC421815-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC421815-large.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC421815-full.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC421815-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC421815-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC421815-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","1:15","17:00","2016-08-16","2018-06-22","","FCF1976 - Fonoteca Casa da Floresta.","yes","yes","no","","","no","","","44100"
"419141","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Fernando Igor de Godoy","Brazil","Monte Alegre, Telêmaco Borba, Paraná","-24.2783","-50.5306","850","song","","","field recording","//xeno-canto.org/419141","https://xeno-canto.org/419141/download","XC419141-880 - 915 Amazona vinacea + Chaetura cinereiventris(flight Calls)Varanal_TelemacoBorbaPR130713.mp3",//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC419141-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC419141-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC419141-large.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC419141-full.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC419141-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC419141-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC419141-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","1:17","07:00","2013-07-13","2018-06-07","Chaetura cinereiventris","FCF0880 - Fonoteca Casa da Floresta","yes","yes","no","","","no","","","48000"
"325864","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Fernando Igor de Godoy","Brazil","Monte Alegre, Telêmaco Borba, Paraná","-24.2783","-50.5306","850","call","","","field recording","//xeno-canto.org/325864","https://xeno-canto.org/325864/download","XC325864-582. Amazona_vinacea(chamados_pertorodovia)Harmonia_Telemaco_Borba_272013FIG.mp3",//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325864-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325864-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325864-large.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325864-full.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC325864-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC325864-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC325864-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","0:28","17:00","2013-02-27","2016-07-06","","FNJV 29955 - Casa da Floresta","yes","yes","no","","","no","","","48000"
"325863","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Fernando Igor de Godoy","Brazil","Monte Alegre, Telêmaco Borba, Paraná","-24.2783","-50.5306","850","call","","","field recording","//xeno-canto.org/325863","https://xeno-canto.org/325863/download","XC325863-581. Amazona_vinacea(chamados)_Telemaco_Borba_272013FIG.mp3",//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325863-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325863-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325863-large.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC325863-full.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC325863-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC325863-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC325863-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","0:11","17:00","2013-02-27","2016-07-06","","FNJV 29954 - Casa da Floresta","no","no","no","","","no","","","48000"
"299651","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Fernando Igor de Godoy","Brazil","Monte Alegre, Telêmaco Borba, Paraná","-24.2783","-50.5306","850","flight call","","","field recording","//xeno-canto.org/299651","https://xeno-canto.org/299651/download","XC299651-247 Amazona vinacea (flight calls)Invernadinha_TelemacoBorbaPR270712.mp3",//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC299651-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC299651-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC299651-large.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/ffts/XC299651-full.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC299651-small.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC299651-med.png,//xeno-canto.org/sounds/uploaded/CHDHFSVVIN/wave/XC299651-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","0:18","07:00","2012-07-22","2016-01-18","","FNJV 29621 - Casa da Floresta","yes","yes","no","","","no","","","48000"
"174627","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","João Antônio de B. Vitto","Brazil","São Mateus do Sul, Parana","-25.8681","-50.3845","800","call","","","field recording","//xeno-canto.org/174627","https://xeno-canto.org/174627/download","XC174627-PAPAGAIO PEITO ROXO - SMS - 30-10-12.mp3",//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174627-small.png,//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174627-med.png,//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174627-large.png,//xeno-canto.org/sounds/uploaded/RIVNLYTULO/ffts/XC174627-full.png,//xeno-canto.org/sounds/uploaded/RIVNLYTULO/wave/XC174627-small.png,//xeno-canto.org/sounds/uploaded/RIVNLYTULO/wave/XC174627-med.png,//xeno-canto.org/sounds/uploaded/RIVNLYTULO/wave/XC174627-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","0:03","10:00","2012-10-30","2014-04-15","","","no","no","no","","","no","","","44100"
"173428","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Douglas Meyer","Brazil","Parque Nacional da Serra do Itajaí, Botuverá, Santa Catarina","-27.2042","-49.1212","340","song","","","field recording","//xeno-canto.org/173428","https://xeno-canto.org/173428/download","XC173428-Psittacidae_Amazona_vinacea_19_09_2013_H13_59_Botuverá.mp3",//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173428-small.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173428-med.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173428-large.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173428-full.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173428-small.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173428-med.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173428-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","no score","0:19","13:59","2013-09-19","2014-04-10","","eight individuals flying.","yes","yes","no","","","no","","","44100"
"170438","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","Roney Assis Souza","Brazil","Belo Oriente, Minas Gerais","-19.2204","-42.4832","260","song","","","field recording","//xeno-canto.org/170438","https://xeno-canto.org/170438/download","XC170438-vinacea.mp3",//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/ffts/XC170438-small.png,//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/ffts/XC170438-med.png,//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/ffts/XC170438-large.png,//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/ffts/XC170438-full.png,//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/wave/XC170438-small.png,//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/wave/XC170438-med.png,//xeno-canto.org/sounds/uploaded/AJYSYOLBOF/wave/XC170438-large.png,"//creativecommons.org/licenses/by-nc-sa/3.0/","no score","0:24","18:00","2014-03-19","2014-03-20","","","yes","yes","no","","","no","","","44100"
"725037","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","JAYRSON ARAUJO DE OLIVEIRA","Brazil","Urupema. Pousada Rio dos Touros, Santa Catarina","-27.9514","-49.9345","1400","flight call","uncertain","adult","field recording","//xeno-canto.org/725037","https://xeno-canto.org/725037/download","XC725037-12-05-2022 16e58 Papagaio de peito roxo URUPEMA.mp3",//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725037-small.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725037-med.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725037-large.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725037-full.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC725037-small.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC725037-med.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC725037-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:13","16:58","2022-05-12","2022-05-18","Amazona pretrei","","yes","yes","no","","","no","","","44100"
"725029","Amazona","vinacea","","birds","Vinaceous-breasted Amazon","JAYRSON ARAUJO DE OLIVEIRA","Brazil","Urupema. Pousada Rio dos Touros, Santa Catarina","-27.9514","-49.9345","1400","flight call","uncertain","adult","field recording","//xeno-canto.org/725029","https://xeno-canto.org/725029/download","XC725029-12-05-2022 14e13 Papagaio de peito roxo URUPEMA.mp3",//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725029-small.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725029-med.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725029-large.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/ffts/XC725029-full.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC725029-small.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC725029-med.png,//xeno-canto.org/sounds/uploaded/LXKLWEDKEM/wave/XC725029-large.png,"//creativecommons.org/licenses/by-nc-sa/4.0/","A","0:22","14:13","2022-05-12","2022-05-18","Leptasthenura setaria","","yes","yes","no","","","no","","","44100"
