"id","lat","lon","date","country","species","database"
"421815","-24.2783","-50.5306",2016-08-16,"Brazil","Amazona vinacea","Xeno-Canto"
"174627","-25.8681","-50.3845",2012-10-30,"Brazil","Amazona vinacea","Xeno-Canto"
"173428","-27.2042","-49.1212",2013-09-19,"Brazil","Amazona vinacea","Xeno-Canto"
"170438","-19.2204","-42.4832",2014-03-19,"Brazil","Amazona vinacea","Xeno-Canto"
"725037","-27.9514","-49.9345",2022-05-12,"Brazil","Amazona vinacea","Xeno-Canto"
"580452","-26.6301","-54.0999",2019-03-20,"Argentina","Amazona vinacea","Xeno-Canto"
"541134","-26.2457","-49.4122",2020-04-03,"Brazil","Amazona vinacea","Xeno-Canto"
"427061","-20.466098","-41.731431",2016-09-27,"Brazil","Amazona vinacea","Xeno-Canto"
"288368","-28.3286","-49.5848",2015-05-07,"Brazil","Amazona vinacea","Xeno-Canto"
"268583","-19.7323","-41.8141",2015-08-12,"Brazil","Amazona vinacea","Xeno-Canto"
"100815","-22.686","-45.48",2009-12-03,"Brazil","Amazona vinacea","Xeno-Canto"
"62481","-22.6681","-45.5031",2010-08-24,"Brazil","Amazona vinacea","Xeno-Canto"
"544448","-22.6774","-45.4732",2020-03-29,"Brazil","Amazona vinacea","Xeno-Canto"
"179470","-22.666","-45.4534",2014-05-19,"Brazil","Amazona vinacea","Xeno-Canto"
"150910","-26.3247","-53.2885",2013-09-12,"Brazil","Amazona vinacea","Xeno-Canto"
"144947","-19.7993","-41.7174",2013-06-20,"Brazil","Amazona vinacea","Xeno-Canto"
"143237","-20.79","-42.8882",2013-07-18,"Brazil","Amazona vinacea","Xeno-Canto"
"120209","-22.7008","-45.4964",2013-01-26,"Brazil","Amazona vinacea","Xeno-Canto"
"71548","-26.519","-53.991",2010-10-29,"Argentina","Amazona vinacea","Xeno-Canto"
"41881","-27.1073","-49.1573",2009-08-20,"Brazil","Amazona vinacea","Xeno-Canto"
"13509","-28.13333","-49.5",2006-10-20,"Brazil","Amazona vinacea","Xeno-Canto"
"855665","-22.718","-45.591",2021-01-05,"Brazil","Amazona vinacea","Xeno-Canto"
"591703","-26.519","-53.9887",2019-03-24,"Argentina","Amazona vinacea","Xeno-Canto"
"431028","-29.0066","-50.8079",2018-07-31,"Brazil","Amazona vinacea","Xeno-Canto"
"380160","-26.5167","-53.9834",2017-05-26,"Argentina","Amazona vinacea","Xeno-Canto"
"218410","-29.4166666667","-50.8666666667",2005-08-05,"Brazil","Amazona vinacea","Xeno-Canto"
"162200","-22.87","-46.0309",2009-04-16,"Brazil","Amazona vinacea","Xeno-Canto"
"152605","-25.3067","-49.0524",2013-10-05,"Brazil","Amazona vinacea","Xeno-Canto"
"24418","-26.6834","-49.6942",2006-07-11,"Brazil","Amazona vinacea","Xeno-Canto"
"18976","-29.4431","-50.6117",2006-08-01,"Brazil","Amazona vinacea","Xeno-Canto"
"149018","-20.6665","-42.5222",2013-09-21,"Brazil","Amazona vinacea","Xeno-Canto"
"705689","-17.5487","-40.6024",2019-08-22,"Brazil","Amazona vinacea","Xeno-Canto"
