"id","lat","lng","rec","gen","sp"
"421815","-24.2783","-50.5306","Fernando Igor de Godoy","Amazona","vinacea"
"419141","-24.2783","-50.5306","Fernando Igor de Godoy","Amazona","vinacea"
"325864","-24.2783","-50.5306","Fernando Igor de Godoy","Amazona","vinacea"
"325863","-24.2783","-50.5306","Fernando Igor de Godoy","Amazona","vinacea"
"299651","-24.2783","-50.5306","Fernando Igor de Godoy","Amazona","vinacea"
"174627","-25.8681","-50.3845","João Antônio de B. Vitto","Amazona","vinacea"
"173428","-27.2042","-49.1212","Douglas Meyer","Amazona","vinacea"
"170438","-19.2204","-42.4832","Roney Assis Souza","Amazona","vinacea"
"725037","-27.9514","-49.9345","JAYRSON ARAUJO DE OLIVEIRA","Amazona","vinacea"
"725029","-27.9514","-49.9345","JAYRSON ARAUJO DE OLIVEIRA","Amazona","vinacea"
"724673","-27.9514","-49.9345","GABRIEL LEITE","Amazona","vinacea"
"580452","-26.6301","-54.0999","Franco Vushurovich","Amazona","vinacea"
"541134","-26.2457","-49.4122","Marcelo Hübel","Amazona","vinacea"
"541133","-26.2457","-49.4122","Marcelo Hübel","Amazona","vinacea"
"541132","-26.2457","-49.4122","Marcelo Hübel","Amazona","vinacea"
"503248","-26.6301","-54.0999","Franco Vushurovich","Amazona","vinacea"
"427061","-20.466098","-41.731431","Caio Brito","Amazona","vinacea"
"288368","-28.3286","-49.5848","Marcelo Villegas","Amazona","vinacea"
"268583","-19.7323","-41.8141","Fabrice Schmitt","Amazona","vinacea"
"235510","-27.83","-49.58","Jeremy Minns","Amazona","vinacea"
"235509","-27.83","-49.58","Jeremy Minns","Amazona","vinacea"
"100815","-22.686","-45.48","Antonio Silveira","Amazona","vinacea"
"84863","-27.83","-49.58","Jeremy Minns","Amazona","vinacea"
"62481","-22.6681","-45.5031","Herman van Oosten","Amazona","vinacea"
"39665",NA,NA,"Eduardo Patrial","Amazona","vinacea"
"544448","-22.6774","-45.4732","Dante Buzzetti","Amazona","vinacea"
"180157","-22.686","-45.48","Nárgila Moura","Amazona","vinacea"
"179470","-22.666","-45.4534","Alex Lees","Amazona","vinacea"
"150910","-26.3247","-53.2885","Paulo Affonso Fonseca Pires Neto","Amazona","vinacea"
"144947","-19.7993","-41.7174","Augusto Cezar Francisco Alves","Amazona","vinacea"
"143237","-20.79","-42.8882","Noé Eiterer","Amazona","vinacea"
"140062","-26.3247","-53.2885","Paulo Affonso Fonseca Pires Neto","Amazona","vinacea"
"120209","-22.7008","-45.4964","GABRIEL LEITE","Amazona","vinacea"
"84862","-27.83","-49.58","Jeremy Minns","Amazona","vinacea"
"84861","-27.83","-49.58","Jeremy Minns","Amazona","vinacea"
"84860","-22.7167","-45.6001","Jeremy Minns","Amazona","vinacea"
"71548","-26.519","-53.991","Alejandro Bodrati","Amazona","vinacea"
"71528","-26.519","-53.991","Alejandro Bodrati","Amazona","vinacea"
"61797","-22.6681","-45.5031","Marcos Melo","Amazona","vinacea"
"55683",NA,NA,"Myriam Velazquez","Amazona","vinacea"
"41881","-27.1073","-49.1573","Adrian Eisen Rupp","Amazona","vinacea"
"41817","-27.1073","-49.1573","Evair Legal","Amazona","vinacea"
"13509","-28.13333","-49.5","Vitor de Q. Piacentini","Amazona","vinacea"
"855665","-22.718","-45.591","Michael Hurben","Amazona","vinacea"
"678288","-22.7285","-44.6358","Dante Buzzetti","Amazona","vinacea"
"678287","-22.7285","-44.6358","Dante Buzzetti","Amazona","vinacea"
"591703","-26.519","-53.9887","Franco Vushurovich","Amazona","vinacea"
"431028","-29.0066","-50.8079","Guilherme de Melo Becher","Amazona","vinacea"
"380160","-26.5167","-53.9834","Luis Pradier","Amazona","vinacea"
"365677","-26.519","-53.991","Bobby Wilcox","Amazona","vinacea"
"218410","-29.4166666667","-50.8666666667","Peter Boesman","Amazona","vinacea"
"218409","-29.4166666667","-50.8666666667","Peter Boesman","Amazona","vinacea"
"218408","-29.4166666667","-50.8666666667","Peter Boesman","Amazona","vinacea"
"162200","-22.87","-46.0309","Antonio Silveira","Amazona","vinacea"
"152605","-25.3067","-49.0524","Alexandre Bianco","Amazona","vinacea"
"30554","-27.1073","-49.1573","Adrian Eisen Rupp","Amazona","vinacea"
"24418","-26.6834","-49.6942","Adrian Eisen Rupp","Amazona","vinacea"
"18976","-29.4431","-50.6117","Eduardo Patrial","Amazona","vinacea"
"18908","-26.635798","-54.122772","Freddy G Burgos","Amazona","vinacea"
"218411","-29.4166666667","-50.8666666667","Peter Boesman","Amazona","vinacea"
"169904","-19.2204","-42.4832","Roney Assis Souza","Amazona","vinacea"
"149018","-20.6665","-42.5222","Noé Eiterer","Amazona","vinacea"
"23973",NA,NA,"Guilherme Serpa","Amazona","vinacea"
"705689","-17.5487","-40.6024","Fernando Igor de Godoy","Amazona","vinacea"
"705688","-17.5487","-40.6024","Fernando Igor de Godoy","Amazona","vinacea"
"705649","-17.5487","-40.6024","Fernando Igor de Godoy","Amazona","vinacea"
